File name,Class,Number of faces,Number of vertices,Type of faces,Bounding box
m59,AquaticAnimal,14886,7464,[3],[0.0503389  0.1996611  0.0515625  0.18755737 0.07068927 0.92519531]
m60,AquaticAnimal,10448,5226,[3],[0.027836   0.34583806 0.02832688 0.40231544 0.02992961 0.9743226 ]
m61,AquaticAnimal,16654,8519,[3],[0.025      0.18683    0.03598515 0.43123427 0.04293039 0.96281857]
m62,AquaticAnimal,17830,8917,[3],[0.02916685 0.12762504 0.0291368  0.74462833 0.05399012 0.9662708 ]
m63,AquaticAnimal,16635,8591,[3],[0.02891528 0.96039887 0.03431484 0.71147915 0.03431468 0.76792381]
m64,AquaticAnimal,17189,8731,[3],[0.04030769 0.96714668 0.03213695 0.5403462  0.02813324 0.17473285]
m65,AquaticAnimal,16608,8369,[3],[0.033753   0.39106351 0.03597023 0.58024309 0.06593861 0.97344388]
m66,AquaticAnimal,19889,10297,[3],[0.044534   0.42331713 0.05082719 0.52237107 0.02991762 0.97339669]
m68,AquaticAnimal,11748,5878,[3],[0.02549268 0.95312066 0.02728689 0.26844935 0.02749876 0.18496162]
m69,AquaticAnimal,18612,9365,[3],[0.04289881 0.3397981  0.03314594 0.25774009 0.04419442 0.9726066 ]
m70,AquaticAnimal,18196,9166,[3],[0.03515375 0.44426128 0.0301934  0.26116563 0.03212921 0.97077382]
m71,AquaticAnimal,21210,10607,[3],[0.03606924 0.31428125 0.02796001 0.36768954 0.04709607 0.97111344]
m72,AquaticAnimal,20250,10169,[3],[0.03976323 0.44143573 0.03069338 0.25579973 0.03233772 0.97174784]
m73,AquaticAnimal,20794,10407,[3],[0.03031689 0.97043667 0.04849091 0.60577484 0.03964007 0.36098017]
m74,AquaticAnimal,16366,8244,[3],[0.03098481 0.35145337 0.03611125 0.31360811 0.03458163 0.9718335 ]
m75,AquaticAnimal,19442,9796,[3],[0.04352218 0.51986185 0.02972023 0.28738275 0.03773989 0.96656352]
m76,AquaticAnimal,19102,9553,[3],[0.02858907 0.39140581 0.02734636 0.35100993 0.02834111 0.97110655]
m78,AquaticAnimal,18630,9482,[3],[0.02879905 0.95933659 0.0613397  0.45722912 0.06183811 0.39956921]
m79,AquaticAnimal,10503,5515,[3],[0.06242455 0.96861432 0.03195343 0.20313665 0.0516047  0.27435313]
m80,AquaticAnimal,17926,9094,[3],[0.03629986 0.96369633 0.0330181  0.30888148 0.0264465  0.41597978]
m81,AquaticAnimal,14307,7284,[3],[0.03549731 0.40400269 0.02923886 0.27471826 0.02707813 0.96683594]
D00031,Bed,11192,5797,[3],[-0.66817069  0.9284715  -0.70765563  0.72613912 -0.2662985   0.311235  ]
D00110,Bed,26239,13323,[3],[-0.88720299  0.73520425 -0.71377266  0.51424772 -0.2190389   0.31283693]
D00213,Bed,10907,5479,[3],[-0.95494983  0.7471285  -0.36492025  0.50433562 -0.37548076  0.27484212]
D00217,Bed,10648,5426,[3],[-0.84144594  0.88050129 -0.54404077  0.41060275 -0.30305145  0.42247238]
D00307,Bed,13523,6934,[3],[-0.81944629  0.98713956 -0.83167338  0.87155375 -0.21279218  0.39225013]
D00545,Bed,24566,12384,[3],[-0.82815731  0.86394557 -0.47513211  0.74301513 -0.37771513  0.34084881]
D00565,Bed,14540,7380,[3],[-1.07777156  0.58620018 -0.59539521  0.71110658 -0.36583614  0.15698295]
D00650,Bed,12722,6402,[3],[-0.86290519  0.83232669 -0.54973987  0.37687912 -0.42138294  0.28145494]
D00735,Bed,13161,6965,[3],[-0.60584069  1.1038932  -0.63517623  0.70587821 -0.22022194  0.46774362]
D00836,Bed,26468,13364,[3],[-0.78553156  0.91065091 -0.28599203  0.49413535 -0.28259461  0.5020682 ]
D00988,Bed,14342,7203,[3],[-0.86074988  0.80933873 -0.71981117  0.4200902  -0.50888394  0.20037177]
m946,Bed,23400,11895,[3],[0.02670073 0.49245682 0.025      0.48866687 0.02668848 0.97331202]
m947,Bed,19978,10178,[3],[0.03323094 0.71401101 0.04221811 0.44489768 0.02602045 0.97469028]
m948,Bed,18370,9263,[3],[0.02854556 0.9714545  0.02504275 0.89278513 0.02506675 0.96134138]
m949,Bed,15672,7848,[3],[0.02734874 0.95381143 0.04481572 0.93812497 0.02622544 0.48872856]
m950,Bed,18968,9641,[3],[0.0384215  0.75596305 0.02500037 0.88922449 0.0384204  0.96157713]
m951,Bed,19396,10072,[3],[0.02500427 0.79794667 0.025      0.50331336 0.02624053 0.97478099]
D00016,Bicycle,11702,6144,[3],[-0.911731    0.957387   -0.43805338  0.81649438 -0.20975213  0.177664  ]
D00033,Bicycle,9750,5339,[3],[-1.06377375  0.87732425 -0.38784775  0.7038925  -0.27582444  0.30395029]
D00567,Bicycle,22270,11113,[3],[-0.91692247  0.98497637 -0.49661335  0.67886965 -0.27691797  0.25521964]
D00621,Bicycle,11694,6140,[3],[-0.9128965   0.9549615  -0.71881063  0.54786687 -0.21191062  0.175219  ]
D00750,Bicycle,13370,6856,[3],[-0.81061425  1.10037375 -0.815833    0.72882019 -0.16301425  0.437952  ]
m1472,Bicycle,21471,10973,[3],[0.02795382 0.40350418 0.02668169 0.5651414  0.02932494 0.97067505]
m1473,Bicycle,9750,5339,[3],[0.02589075 0.9741325  0.025856   0.557643   0.02785315 0.31121709]
m1476,Bicycle,22522,11239,[3],[0.0306416  0.2940334  0.02863222 0.57362552 0.02863307 0.97173719]
m1478,Bicycle,11702,6144,[3],[0.02712675 0.97287325 0.02712675 0.611666   0.02500767 0.223576  ]
D00069,Biplane,17564,8914,[3],[-1.0522625   0.894002   -0.44604819  0.55189163 -0.19859562  0.19813322]
D00132,Biplane,12426,6475,[3],[-0.94822231  0.94717673 -0.41586745  0.83506795 -0.12699654  0.23620233]
D00178,Biplane,16461,9468,[3],[-0.58024162  0.4863252  -0.46836799  0.59113039 -0.17587394  0.11495575]
D00199,Biplane,9188,5551,[3],[-1.01603     0.91526    -0.38231013  1.074935   -0.23398825  0.33713869]
D00276,Biplane,21034,10605,[3],[-1.05433963  0.69034917 -0.8424706   0.75356603 -0.4577189   0.46950929]
D00410,Biplane,13176,6628,[3],[-1.12318116  0.74590658 -0.5254711   0.58615877 -0.22934994  0.16762458]
D00632,Biplane,20450,10397,[3],[-0.84483123  0.62878828 -0.93654541  0.93566691 -0.21849766  0.31671731]
D00666,Biplane,16934,8660,[3],[-1.15862594  0.68519369 -0.94613072  0.96218706 -0.26599611  0.17643985]
m1119,Biplane,12042,6118,[3],[0.03586946 0.96413011 0.02734782 0.37791372 0.02668938 0.81137195]
m1121,Biplane,14132,7242,[3],[0.02541835 0.76906369 0.03051963 0.96948011 0.02592452 0.32693616]
m1123,Biplane,11676,6051,[3],[0.025      0.6790475  0.025      0.975      0.02609158 0.31605176]
m1124,Biplane,13702,7046,[3],[0.025      0.62468625 0.025      0.975      0.0612628  0.23575507]
m1125,Biplane,17398,8936,[3],[0.025      0.799082   0.025      0.975      0.03382541 0.27419024]
m1126,Biplane,20468,10418,[3],[0.025      0.784038   0.025      0.975      0.02515731 0.23051295]
m1127,Biplane,13952,7130,[3],[0.02807063 0.79851548 0.025      0.975      0.02805433 0.21956858]
m1128,Biplane,10448,5405,[3],[0.02780527 0.94389187 0.025      0.967087   0.02621302 0.241951  ]
m1129,Biplane,15792,8201,[3],[0.02505238 0.97495087 0.02532219 0.34540025 0.02503488 0.69939544]
m1131,Biplane,18430,9364,[3],[0.025      0.705493   0.025      0.975      0.02515868 0.196732  ]
m1132,Biplane,10054,5260,[3],[0.02635905 0.7227     0.025      0.975      0.0428543  0.20964105]
m1133,Biplane,20452,10398,[3],[0.025      0.769747   0.025      0.975      0.025      0.30765699]
m1134,Biplane,10934,5637,[3],[0.025      0.53573468 0.025      0.975      0.0302849  0.1732    ]
m1135,Biplane,11550,5996,[3],[0.025      0.53604128 0.025      0.975      0.03078977 0.17690943]
m1136,Biplane,11494,5875,[3],[0.02884493 0.55272331 0.02503895 0.97496105 0.04428836 0.233333  ]
m1137,Biplane,14206,7354,[3],[0.02505217 0.461983   0.025      0.975      0.04706165 0.17146872]
m1138,Biplane,15269,8155,[3],[0.052495   0.975      0.025      0.907034   0.02631894 0.37642045]
m1139,Biplane,9758,5921,[3],[0.025      0.642337   0.025      0.975      0.02531188 0.274269  ]
m1143,Biplane,17916,9114,[3],[0.0253745  0.50392925 0.03038125 0.96961875 0.02500025 0.20936625]
m1144,Biplane,13517,7109,[3],[0.025      0.975      0.02677425 0.71642575 0.02541325 0.28991987]
m1146,Biplane,10959,5766,[3],[0.03037818 0.88298182 0.02536554 0.31977906 0.03594059 0.97144239]
D00089,Bird,18048,9026,[3],[-1.12378909  0.75239544 -0.54263557  0.45225809 -0.30921242  0.150982  ]
D00234,Bird,11666,5855,[3],[-0.91123061  0.9301052  -0.88991187  0.60536377 -0.17798809  0.25618231]
D00323,Bird,22068,11134,[3],[-0.77740242  1.19865395 -0.18471224  0.34322888 -0.04381883  0.04049087]
D00386,Bird,18038,9021,[3],[-1.05057501  0.80337976 -0.27514296  0.3531984  -0.13207654  0.07141134]
D00438,Bird,10899,5484,[3],[-1.17525188  0.774538   -0.51366462  0.36856913 -0.19446837  0.0633255 ]
D00546,Bird,9782,5155,[3],[-1.20906874  0.67810575 -0.28515407  0.40231624 -0.21260781  0.13992628]
D00599,Bird,10481,5284,[3],[-1.18840563  0.732077   -0.43323836  0.28848725 -0.05141925  0.15631112]
D00625,Bird,12876,7390,[3],[-0.74858503  1.14094259 -0.77999491  0.62800219 -0.70423547  0.28203891]
D00689,Bird,12932,6519,[3],[-1.16938125  0.75719375 -0.37608961  0.24071425 -0.19665447  0.3400731 ]
D00736,Bird,16860,8500,[3],[-1.17496646  0.79395901 -0.4603125   0.48910302 -0.19670975  0.08234287]
D00762,Bird,14932,7468,[3],[-1.02343389  0.71895829 -0.68726755  0.83329046 -0.38500729  0.25434805]
D00862,Bird,15632,7823,[3],[-0.71930596  1.19575084 -0.50468422  0.40611007 -0.40287754  0.09666325]
D00922,Bird,12638,6325,[3],[-0.7169557   1.01014401 -0.53217106  0.77161952 -0.37357128  0.50119823]
D00961,Bird,18597,9344,[3],[-1.16029787  0.76554048 -0.67392868  0.43617128 -0.05851841  0.19036897]
D00999,Bird,11103,5555,[3],[-1.20116289  0.73777028 -0.31052135  0.36275783 -0.08424672  0.16066534]
m29,Bird,12534,6300,[3],[0.02601213 0.3457255  0.03681787 0.9127025  0.04291253 0.974631  ]
m30,Bird,19716,9978,[3],[0.04196482 0.34248567 0.02862672 0.51905513 0.05172211 0.96150625]
m31,Bird,11956,6016,[3],[0.02560688 0.50024013 0.03140437 0.96887888 0.03378663 0.51399372]
m32,Bird,18508,9260,[3],[0.02951984 0.37825255 0.03445267 0.65538347 0.04130066 0.97206431]
m33,Bird,15364,7744,[3],[0.02533366 0.541125   0.02555531 0.69176019 0.02948962 0.97456383]
m34,Bird,18160,9082,[3],[0.04428018 0.95901676 0.0280071  0.25524272 0.05310826 0.53474817]
m35,Bird,19162,9583,[3],[0.03001746 0.78902232 0.02884841 0.62159752 0.06709742 0.96653193]
m36,Bird,11294,5698,[3],[0.15321891 0.85439069 0.02961617 0.65040169 0.04036702 0.92537724]
m37,Bird,11652,5828,[3],[0.03680624 0.96666119 0.03300442 0.43182884 0.03008609 0.74396328]
m38,Bird,11261,5633,[3],[0.03860979 0.96139021 0.02598122 0.25889391 0.02613653 0.28359552]
m39,Bird,10444,5317,[3],[0.025      0.8407077  0.025      0.975      0.02741942 0.25723606]
m40,Bird,12882,6494,[3],[0.02976125 0.97023875 0.02553492 0.28352288 0.0263391  0.34749175]
m41,Bird,10899,5484,[3],[0.03063887 0.96936113 0.02532631 0.146517   0.04061287 0.46638646]
m42,Bird,12591,6396,[3],[0.10421419 0.94520607 0.03470973 0.20646007 0.08918669 0.48544551]
m43,Bird,9996,5155,[3],[0.11198953 0.7771568  0.09166167 0.553927   0.05349796 0.87955365]
m44,Bird,19404,9704,[3],[0.09948667 0.90051333 0.02643244 0.45333376 0.02822672 0.2638491 ]
m47,Bird,12132,6128,[3],[0.07352814 0.6830184  0.03540729 0.14772688 0.0685746  0.93664584]
m48,Bird,11794,5960,[3],[0.02756496 0.48565155 0.025      0.45573795 0.0262475  0.96957565]
m49,Bird,10755,5589,[3],[0.0266765  0.9744585  0.02513737 0.800992   0.02680013 0.68885088]
m50,Bird,11162,5583,[3],[0.05236082 0.3765324  0.03986096 0.55338645 0.09269831 0.94916414]
m51,Bird,11558,5789,[3],[0.05447153 0.89355944 0.03966194 0.47708377 0.04795382 0.5287327 ]
m52,Bird,26160,13094,[3],[0.07081708 0.94271372 0.02907833 0.61857684 0.05552678 0.9032209 ]
D01009,Bookset,30340,15618,[3],"[1.28755540e-04 4.19976035e-01 5.07974609e-04 2.58494764e-01
 0.00000000e+00 2.69101932e-01]"
D01013,Bookset,15222,8659,[3],"[-5.03671172e-02  2.05399977e-01  2.07922848e-01  6.65263682e-01
  6.14277344e-05  2.79800000e-01]"
D01030,Bookset,20425,10319,[3],[0.00076879 0.42107953 0.00841604 0.3055963  0.         0.34639673]
D01038,Bookset,10961,5618,[3],[4.96981175 5.194114   3.4271265  4.391839   0.37465    0.73787   ]
D01042,Bookset,13756,7260,[3],[-1.91068736 -1.679849    0.67884486  0.88538909 -0.056548    0.22111687]
D01050,Bookset,14099,7111,[3],[0.00128404 0.27468138 0.00841604 0.28868358 0.         0.31828294]
D01065,Bookset,16816,9551,[3],"[ 3.38746532e+00  3.88831694e+00  4.48679883e-01  7.04446977e-01
 -3.29361328e-04  2.79400000e-01]"
D01078,Bookset,17282,8954,[3],[0.27404354 0.58016492 0.2298015  0.350384   0.         0.17145   ]
D01096,Bookset,9767,5537,[3],[0.01020105 0.53475068 0.00282773 0.29702757 0.00193477 0.290971  ]
D01108,Bookset,29373,14995,[3],[0.17458238 0.33315079 0.05516555 0.4538208  1.61688747 1.88930252]
D01109,Bookset,17971,9311,[3],"[0.00000000e+00 2.17048437e-01 4.45351562e-05 3.06342432e-01
 0.00000000e+00 2.69177000e-01]"
D01110,Bookset,16718,8483,[3],[0.00077706 0.26831497 0.00841604 0.28956    0.         0.34672025]
D01122,Bookset,11240,5706,[3],[ 0.00066424  0.19731776 -0.01757167  0.105497    0.          0.145403  ]
D01135,Bookset,28938,14865,[3],[-0.27569382 10.18008165 -0.21363033  4.38105196  0.          5.036256  ]
D01146,Bookset,9837,6278,[3],[2.26339    2.53892    2.04349    2.33285166 0.         0.31856964]
D01182,Bookset,13957,7168,[3],[-0.10615314  0.0720712   0.01410119  0.24560007  0.          0.23994353]
D01183,Bookset,21823,11519,[3],[ 1.04019457  2.95426159 -0.21613669  0.96233816  0.          1.7273404 ]
D01184,Bookset,17387,8919,[3],"[6.13078947e-05 1.84942459e-01 2.53559961e-03 2.29664082e-01
 0.00000000e+00 3.26265488e-01]"
D01190,Bookset,12350,6362,[3],"[ 1.2910000e-03  1.6408700e-01 -2.4112330e+00 -1.6772905e+00
  4.1329000e-02  3.1635725e-01]"
D01199,Bookset,19011,9802,[3],[ 0.08566618 13.34191637  0.06736308  7.15399342 -0.08333185  7.20743865]
D00020,Bottle,14582,7293,[3],[-0.78590352  0.88061067 -0.21030514  0.22079114 -0.22663144  0.19207988]
D00123,Bottle,18290,9268,[3],[-0.78515867  0.78141216 -0.27149175  0.11832841 -0.18781944  0.17124606]
D00139,Bottle,14636,7374,[3],[-0.91702708  0.72741124 -0.2111405   0.1925965  -0.193964    0.20321675]
D00208,Bottle,12516,6262,[3],[-0.94939775  0.75810637 -0.26419837  0.26335825 -0.23920056  0.24584638]
D00281,Bottle,22750,11427,[3],[-0.80285566  0.90390824 -0.32256732  0.19009895 -0.27714593  0.22926831]
D00311,Bottle,14672,7340,[3],[-0.82801753  0.87783664 -0.33227202  0.34678119 -0.33372096  0.33971872]
D00347,Bottle,14968,7517,[3],[-1.014955    0.56593925 -0.16965437  0.26220362 -0.21309375  0.21797575]
D00350,Bottle,20387,10227,[3],[-0.89318507  0.86611302 -0.2115757   0.21130977 -0.19756619  0.24576125]
D00390,Bottle,10602,5323,[3],[-0.59621475  0.9987295  -0.49989888  0.32559738 -0.41153875  0.40453213]
D00711,Bottle,19220,9643,[3],[-0.85912541  1.04215701 -0.36390813  0.45099012 -0.39390946  0.41934469]
D00716,Bottle,20705,10502,[3],[-0.87501222  0.95093046 -0.44131803  0.5154277  -0.15332608  0.14803681]
D00892,Bottle,16786,8397,[3],[-0.6740535   1.01595625 -0.15069444  0.28636737 -0.21333537  0.212268  ]
D00940,Bottle,12612,6315,[3],[-1.07405482  0.72903175 -0.29897699  0.47388945 -0.39717395  0.36906428]
D00959,Bottle,20996,10592,[3],[-0.80683025  0.69569199 -0.27393121  0.10772389 -0.19733735  0.18462196]
m482,Bottle,10561,5530,[3],[0.025      0.289643   0.02563742 0.9749704  0.025      0.29295909]
m483,Bottle,18992,9837,[3],[0.02795214 0.25843886 0.025      0.975      0.02795214 0.25843886]
m484,Bottle,11184,5611,[3],[0.02632848 0.28822917 0.025      0.97486647 0.02568626 0.28835757]
m485,Bottle,10387,5406,[3],[0.025      0.289643   0.02563742 0.9749704  0.025      0.289643  ]
m486,Bottle,20014,10247,[3],[0.02633284 0.29986705 0.02613088 0.97499446 0.02633303 0.30158443]
m487,Bottle,19966,10189,[3],[0.03415415 0.30424939 0.02613924 0.975      0.03498333 0.30280186]
m488,Bottle,13892,6948,[3],[0.02590371 0.97474329 0.03006551 0.37023635 0.03002535 0.37018864]
m489,Bottle,14690,7458,[3],[0.03449688 0.33374713 0.02903016 0.97471952 0.02739441 0.32644963]
m490,Bottle,14640,7436,[3],[0.02698641 0.36135883 0.02508508 0.975      0.02703719 0.36146062]
m491,Bottle,15728,8020,[3],[0.03888631 0.53655829 0.02896627 0.975      0.03087373 0.45034582]
m492,Bottle,10240,5122,[3],[0.03135229 0.28865425 0.03135184 0.28865316 0.04324431 0.97402297]
m382,BuildingNonResidential,19542,9887,[3],[0.06052332 0.9092934  0.02609075 0.64226089 0.05628973 0.96191121]
m383,BuildingNonResidential,14176,7210,[3],[0.0305555  0.63328    0.025      0.95633447 0.030559   0.5820305 ]
m384,BuildingNonResidential,12793,7534,[3],[0.025      0.975      0.025      0.27410671 0.0264985  0.871086  ]
m385,BuildingNonResidential,11404,6508,[3],[0.044964   0.87900793 0.025      0.96485258 0.0450177  0.60659823]
m386,BuildingNonResidential,13106,6581,[3],[0.03283265 0.94216102 0.025158   0.85051822 0.02824615 0.93749785]
m387,BuildingNonResidential,14582,7601,[3],[0.0332091  0.97156731 0.03169668 0.422906   0.025      0.920334  ]
m389,BuildingNonResidential,11332,6004,[3],[0.0306215  0.74158    0.025      0.97367712 0.03021388 0.6437285 ]
m390,BuildingNonResidential,23228,12064,[3],[0.0869963  0.80931123 0.03683387 0.72828382 0.04608464 0.87506087]
m391,BuildingNonResidential,9972,5473,[3],[0.02826807 0.60228051 0.025      0.64982084 0.02505395 0.9726934 ]
m392,BuildingNonResidential,10224,5177,[3],[0.025      0.816667   0.04683198 0.83813705 0.025      0.341667  ]
m393,BuildingNonResidential,13920,7217,[3],[0.10534887 0.89135004 0.025      0.62301371 0.05187828 0.82086098]
m394,BuildingNonResidential,14114,7274,[3],[0.02641326 0.89700974 0.02517723 0.82452025 0.02641326 0.89782982]
m395,BuildingNonResidential,24138,12493,[3],[0.05721434 0.90583379 0.02712189 0.97220998 0.05901038 0.94098962]
m396,BuildingNonResidential,17644,9221,[3],[0.10084839 0.87377877 0.025      0.84826762 0.04063965 0.81011131]
m397,BuildingNonResidential,27992,14018,[3],[0.0418486  0.9581514  0.025      0.91751233 0.04184825 0.95815078]
m398,BuildingNonResidential,24844,12452,[3],[0.03830007 0.85671808 0.03693774 0.63661221 0.0415279  0.96209554]
m400,BuildingNonResidential,26484,13392,[3],[0.08242551 0.71444279 0.02580796 0.67816646 0.10650628 0.90300703]
m404,BuildingNonResidential,23563,13182,[3],[0.02815934 0.96608117 0.025      0.41728931 0.02858582 0.74076696]
m407,BuildingNonResidential,11326,5865,[3],[0.0884807  0.73590062 0.02517708 0.95358896 0.0440924  0.73695735]
m408,BuildingNonResidential,29525,15004,[3],[0.0252989  0.6446465  0.03300592 0.58880611 0.05813459 0.96888737]
m409,BuildingNonResidential,15029,8597,[3],[0.02800297 0.97440138 0.025      0.21650157 0.04299438 0.70493053]
m410,BuildingNonResidential,20320,10363,[3],[0.04699699 0.95772943 0.02595774 0.4387066  0.05798961 0.94266593]
m412,BuildingNonResidential,13332,7260,[3],[0.0398692  0.96111836 0.02507241 0.12761429 0.03986871 0.49770384]
m413,BuildingNonResidential,20076,10270,[3],[0.025      0.975      0.025      0.82305202 0.025      0.882794  ]
m414,BuildingNonResidential,24704,12452,[3],[0.07301025 0.92534036 0.0283648  0.72207274 0.07580638 0.92813649]
m415,BuildingNonResidential,11192,5646,[3],[0.05888958 0.66053415 0.02683779 0.45888959 0.06086332 0.97316221]
m418,BuildingNonResidential,18480,9398,[3],[0.02586888 0.71218979 0.02613005 0.64137305 0.07580638 0.92813649]
m471,BuildingNonResidential,9927,5000,[3],[0.04984892 0.22785642 0.03025324 0.93496676 0.0432548  0.23796343]
m472,BuildingNonResidential,10266,5139,[3],[0.03540488 0.4707882  0.02576763 0.97039498 0.03468082 0.4698645 ]
m474,BuildingNonResidential,15336,7694,[3],[0.02553615 0.96795504 0.02576037 0.7732311  0.02553612 0.97446374]
m475,BuildingNonResidential,10738,5576,[3],[0.06442871 0.93557129 0.025      0.50082096 0.06442871 0.93557129]
m477,BuildingNonResidential,10663,5776,[3],[0.0546875  0.9453125  0.028901   0.25809241 0.036875   0.393125  ]
m478,BuildingNonResidential,17111,9248,[3],[0.02526599 0.96763062 0.04283153 0.16415494 0.02528971 0.85031679]
m479,BuildingNonResidential,12180,6386,[3],[0.03490978 0.96618947 0.038878   0.27551934 0.03377644 0.51004217]
m481,BuildingNonResidential,9836,5221,[3],[0.0546875  0.9453125  0.025      0.21121969 0.0546875  0.9453125 ]
D00411,Bus,30647,16139,[3],"[ 2.56989500e-02  1.69157000e+01 -6.32451000e-01  5.09987000e+00
  1.24194863e-02  4.43126000e+00]"
D00436,Bus,25323,12728,[3],[ 4.58604125  8.60879875 -9.8224125   2.67096438  0.04062254  3.889615  ]
D00446,Bus,26382,13580,[3],[-7.2201425   7.78       -2.76289625  0.25776637 -0.4882745   4.27056   ]
D00516,Bus,15599,8051,[3],[-9.10837     0.470615    2.988071    5.816505    0.01811725  2.94005   ]
D00832,Bus,17250,8776,[3],"[3.80379375e-01 3.50854700e+00 4.95712062e-01 6.94193375e+00
 3.09350000e-03 2.70875500e+00]"
D00168,Car,20560,10827,[3],[-1.07263687  0.81524825 -0.29628125  0.42073425 -0.32528337  0.31617275]
D00541,Car,15517,8850,[3],[-1.08952375  0.78915375 -0.38069875  0.497211   -0.47809     0.39425931]
D00618,Car,15674,8611,[3],[-1.09957625  0.82797931 -0.39720213  0.42607675 -0.22166637  0.29471362]
D00670,Car,18145,10202,[3],[-0.9880745   0.94604956 -0.43484038  0.2893505  -0.30262294  0.257002  ]
m1488,Car,23239,12074,[3],[0.0255305  0.56822412 0.02599488 0.50681    0.025      0.975     ]
m1489,Car,12246,6131,[3],[0.02765613 0.502296   0.02558737 0.49455413 0.02678549 0.97432483]
m1490,Car,15532,8161,[3],[0.02554413 0.975      0.02600987 0.51542062 0.026082   0.42647   ]
m1497,Car,17018,8552,[3],[0.025      0.9749995  0.02548225 0.327574   0.025      0.342892  ]
m1500,Car,11276,5652,[3],[0.02627775 0.426426   0.02585925 0.37987775 0.02691044 0.97472612]
m1504,Car,23798,12310,[3],[0.0253241  0.4501429  0.02516471 0.20910289 0.02833512 0.96697222]
m1506,Car,20351,10642,[3],[0.025      0.562902   0.025      0.975      0.02704594 0.2769405 ]
m1508,Car,11255,7522,[3],[0.02529322 0.975      0.02548125 0.21157025 0.025      0.419927  ]
m1515,Car,18968,9704,[3],[0.02541926 0.49628839 0.03236064 0.23513922 0.03356091 0.96823706]
m1517,Car,16750,8612,[3],[0.0251275  0.4387695  0.02521088 0.32311406 0.0257935  0.97499887]
m1519,Car,21424,10871,[3],[0.02514969 0.37694537 0.025      0.27217575 0.02524437 0.97280775]
m1521,Car,20482,10440,[3],[0.025      0.412061   0.02628538 0.269465   0.031419   0.972337  ]
m1522,Car,13042,7088,[3],[0.025239   0.4080625  0.02533663 0.2855705  0.0256495  0.9746115 ]
m1523,Car,10846,5433,[3],[0.02910575 0.97220432 0.025252   0.35343951 0.02720125 0.42824812]
m1524,Car,22248,11134,[3],[0.02865012 0.42287327 0.02534776 0.3366625  0.02571185 0.97265212]
m1526,Car,21370,10765,[3],[0.02527033 0.42966426 0.02983351 0.28583452 0.02705529 0.97292427]
