File name,Class,Number of faces,Number of vertices,Type of faces,Bounding box
D00089,Bird,18048,9026,[3],[-0.130617  0.110749 -0.280273  0.249626 -0.501894  0.498106]
D00234,Bird,11666,5855,[3],[-0.0876148  0.143687  -0.501196   0.307129  -0.5        0.5      ]
D00323,Bird,22068,11134,[3],[-0.0292184  0.0133805 -0.101162   0.161267  -0.499909   0.500091 ]
D00386,Bird,18038,9021,[3],[-0.0414309  0.0626721 -0.178285   0.132179  -0.499927   0.500073 ]
D00438,Bird,10899,5484,[3],[-0.0881124  0.0396983 -0.191555   0.262818  -0.500262   0.499738 ]
D00546,Bird,9782,5155,[3],[-0.0715762  0.10163   -0.145044   0.20672   -0.483562   0.516438 ]
D00599,Bird,10481,5284,[3],[-0.0301139  0.070189  -0.162671   0.216372  -0.499756   0.500244 ]
D00625,Bird,12876,7390,[3],[-0.152526  0.33629  -0.308959  0.431858 -0.499255  0.500745]
D00689,Bird,12932,6519,[3],[-0.112471  0.166012 -0.133954  0.156919 -0.500236  0.499764]
D00736,Bird,16860,8500,[3],[-0.0476989  0.090507  -0.211857   0.270037  -0.500011   0.499989 ]
D00762,Bird,14932,7468,[3],[-0.184303  0.166849 -0.439662  0.433276 -0.499989  0.500011]
D00862,Bird,15632,7823,[3],[-0.201532   0.0499029 -0.262956   0.210225  -0.496661   0.503339 ]
D00922,Bird,12638,6325,[3],[-0.219362  0.226958 -0.447289  0.311517 -0.499658  0.500342]
D00961,Bird,18597,9344,[3],[-0.0365261  0.0876231 -0.34807    0.228193  -0.500238   0.499762 ]
D00999,Bird,11103,5555,[3],[-0.0345316  0.0897944 -0.172646   0.175335  -0.500039   0.499961 ]
m29,Bird,12534,6300,[3],[-0.129716  0.129732 -0.211174  0.198063 -0.351451  0.648549]
m30,Bird,19716,9978,[3],[-0.153843  0.153636 -0.209157  0.14479  -0.376806  0.623194]
m31,Bird,11956,6016,[3],[-0.16141   0.268523 -0.253177  0.253151 -0.529266  0.470734]
m32,Bird,18508,9260,[3],[-0.162505  0.162585 -0.329961  0.144878 -0.571044  0.428956]
m33,Bird,15364,7744,[3],[-0.325119  0.327422 -0.376559  0.608047 -0.465435  0.534565]
m34,Bird,18160,9082,[3],[-0.131108  0.111187 -0.247911  0.279442 -0.49798   0.50202 ]
m35,Bird,19162,9583,[3],[-0.348954  0.300731 -0.440185  0.559815 -0.505156  0.401828]
m36,Bird,11294,5698,[3],[-0.43794   0.5236   -0.225076  0.568167 -0.465752  0.534248]
m37,Bird,11652,5828,[3],[-0.202517  0.187129 -0.311392  0.451939 -0.498327  0.501673]
m38,Bird,11261,5633,[3],[-0.0929014  0.0359011 -0.172303   0.176194  -0.5        0.5      ]
m39,Bird,10444,5317,[3],[-0.12841    0.0870203 -0.500297   0.499703  -0.48569    0.370281 ]
m40,Bird,12882,6494,[3],[-0.165972  0.112335 -0.156921  0.133887 -0.499749  0.500251]
m41,Bird,10899,5484,[3],[-0.0881152  0.0396987 -0.191546   0.26286   -0.500267   0.499733 ]
m42,Bird,12591,6396,[3],[-0.0433141  0.150133  -0.229117   0.233082  -0.515533   0.484467 ]
m43,Bird,9996,5155,[3],[-0.11706   0.202244 -0.401988  0.326247 -0.501323  0.498677]
m44,Bird,19404,9704,[3],[-0.140333  0.114821 -0.290393  0.253603 -0.500141  0.499859]
m47,Bird,12132,6128,[3],[-0.0466368  0.0800107 -0.302143   0.398627  -0.502131   0.497869 ]
m48,Bird,11794,5960,[3],[-0.169071  0.283682 -0.244784  0.242916 -0.403922  0.596078]
m49,Bird,10755,5589,[3],[-0.334079  0.333203 -0.403308  0.445198 -0.391948  0.608052]
m50,Bird,11162,5583,[3],[-0.188289  0.190548 -0.296727  0.207657 -0.455315  0.544685]
m51,Bird,11558,5789,[3],[-0.243572  0.187183 -0.280967  0.280722 -0.419423  0.580577]
m52,Bird,26160,13094,[3],[-0.497288  0.460161 -0.333215  0.275199 -0.512696  0.487304]
D01009,Bookset,30340,15618,[3],[-0.464841  0.153296 -0.350251  0.295739 -0.508073  0.491927]
D01013,Bookset,15222,8659,[3],[-0.347172  0.20743  -0.318035  0.333523 -0.426475  0.573525]
D01030,Bookset,20425,10319,[3],[-0.253749  0.344158 -0.367706  0.454866 -0.417676  0.582324]
D01038,Bookset,10961,5618,[3],[-0.146523  0.119032 -0.20656   0.184712 -0.575455  0.424545]
D01042,Bookset,13756,7260,[3],[-0.301069  0.39801  -0.381794  0.469655 -0.449097  0.550903]
D01050,Bookset,14099,7111,[3],[-0.450724  0.267097 -0.433626  0.39801  -0.592876  0.407124]
D01065,Bookset,16816,9551,[3],[-0.200305  0.322382 -0.311583  0.288274 -0.576567  0.423433]
D01078,Bookset,17282,8954,[3],[-0.254041  0.191587 -0.243239  0.342837 -0.463974  0.536026]
D01096,Bookset,9767,5537,[3],[-0.323657  0.30096  -0.435595  0.287266 -0.505732  0.494268]
D01108,Bookset,29373,14995,[3],[-0.179984  0.224907 -0.30723   0.366463 -0.496791  0.503209]
D01109,Bookset,17971,9311,[3],[-0.446923  0.34561  -0.54292   0.363256 -0.537285  0.462715]
D01110,Bookset,16718,8483,[3],[-0.473782  0.331905 -0.317739  0.473108 -0.400454  0.599546]
D01122,Bookset,11240,5706,[3],[-0.312408  0.246382 -0.438952  0.423496 -0.509751  0.490249]
D01135,Bookset,28938,14865,[3],[-0.198506  0.110103 -0.247758  0.252253 -0.525014  0.474986]
D01146,Bookset,9837,6278,[3],[-0.495187  0.342233 -0.310267  0.491038 -0.467463  0.532537]
D01182,Bookset,13957,7168,[3],[-0.243017  0.338648 -0.531327  0.418255 -0.487716  0.512284]
D01183,Bookset,21823,11519,[3],[-0.259025  0.379476 -0.530438  0.469562 -0.52937   0.417304]
D01184,Bookset,17387,8919,[3],[-0.147911  0.455925 -0.347315  0.368062 -0.466523  0.533477]
D01190,Bookset,12350,6362,[3],[-0.124249   0.0990732 -0.206354   0.174605  -0.496012   0.503988 ]
D01199,Bookset,19011,9802,[3],[-0.371717  0.239584 -0.3415    0.316304 -0.433286  0.566714]
D00020,Bottle,14582,7293,[3],[-0.119856  0.134261 -0.12518   0.125037 -0.503742  0.496258]
D00123,Bottle,18290,9268,[3],[-0.114871  0.115732 -0.114751  0.115849 -0.500687  0.499313]
D00139,Bottle,14636,7374,[3],[-0.124368  0.119858 -0.119797  0.119743 -0.490953  0.509047]
D00208,Bottle,12516,6262,[3],[-0.141599  0.141593 -0.141509  0.14208  -0.396861  0.603139]
D00281,Bottle,22750,11427,[3],[-0.143761  0.151849 -0.148566  0.150987 -0.538152  0.461848]
D00311,Bottle,14672,7340,[3],[-0.198473  0.19847  -0.198473  0.198475 -0.563839  0.436161]
D00347,Bottle,14968,7517,[3],[-0.134286  0.138704 -0.13529   0.136749 -0.394993  0.605007]
D00350,Bottle,20387,10227,[3],[-0.125222  0.123217 -0.12486   0.122538 -0.346945  0.653055]
D00390,Bottle,10602,5323,[3],[-0.256613  0.25678  -0.25927   0.256635 -0.582975  0.417025]
D00711,Bottle,19220,9643,[3],[-0.21513   0.215172 -0.215328  0.215028 -0.542989  0.457011]
D00716,Bottle,20705,10502,[3],[-0.0814438  0.0807066 -0.235551   0.255946  -0.39664    0.60336  ]
D00892,Bottle,16786,8397,[3],[-0.126923  0.125404 -0.126418  0.125909 -0.607186  0.392814]
D00940,Bottle,12612,6315,[3],[-0.211478  0.211507 -0.21177   0.211467 -0.64639   0.35361 ]
D00959,Bottle,9480,4834,[3],[-0.127826  0.128052 -0.127354  0.128523 -0.51964   0.48036 ]
m482,Bottle,10561,5530,[3],[-0.146167  0.144462 -0.142191  0.154676 -0.28456   0.71544 ]
m483,Bottle,18992,9837,[3],[-0.121308  0.121941 -0.12199   0.122806 -0.558619  0.441381]
m484,Bottle,11184,5611,[3],[-0.13835   0.137804 -0.137753  0.137416 -0.579688  0.420312]
m485,Bottle,10387,5406,[3],[-0.146125  0.146716 -0.146321  0.146402 -0.274612  0.725388]
m486,Bottle,20014,10247,[3],[-0.143508  0.149428 -0.149185  0.14825  -0.62741   0.37259 ]
m487,Bottle,19966,10189,[3],[-0.146817  0.135582 -0.142006  0.14276  -0.535171  0.464829]
m488,Bottle,13892,6948,[3],[-0.173985  0.186209 -0.178389  0.179611 -0.587885  0.412115]
m489,Bottle,14690,7458,[3],[-0.155221  0.160864 -0.158138  0.15823  -0.568363  0.431637]
m490,Bottle,14640,7436,[3],[-0.176019  0.176142 -0.176115  0.176041 -0.622478  0.377522]
m491,Bottle,15728,8020,[3],[-0.234217  0.213593 -0.26122   0.262191 -0.507561  0.492439]
m492,Bottle,10240,5122,[3],[-0.138176  0.138177 -0.138177  0.138176 -0.572419  0.427581]
m382,BuildingNonResidential,19542,9887,[3],[-0.437258  0.25672  -0.506267  0.493733 -0.459166  0.456041]
m383,BuildingNonResidential,14176,7210,[3],[-0.314567  0.323043 -0.326503  0.320892 -0.467097  0.532903]
m384,BuildingNonResidential,12793,7534,[3],[-0.165306   0.0913423 -0.478701   0.436438  -0.47565    0.52435  ]
m385,BuildingNonResidential,11404,6508,[3],[-0.395744  0.308053 -0.480033  0.519967 -0.418009  0.495878]
m386,BuildingNonResidential,13106,6581,[3],[-0.541564  0.404756 -0.492345  0.479988 -0.446106  0.553894]
m387,BuildingNonResidential,14582,7601,[3],[-0.142599  0.263465 -0.500894  0.499106 -0.467746  0.504502]
m389,BuildingNonResidential,11332,6004,[3],[-0.55443   0.243659 -0.301765  0.492741 -0.432857  0.567143]
m390,BuildingNonResidential,23228,12064,[3],[-0.341755  0.437047 -0.43413   0.272776 -0.533266  0.466734]
m391,BuildingNonResidential,9972,5473,[3],[-0.258092  0.258266 -0.394257  0.372297 -0.630157  0.369843]
m392,BuildingNonResidential,10224,5177,[3],[-0.164475  0.175816 -0.358616  0.504736 -0.367454  0.632546]
m393,BuildingNonResidential,13920,7217,[3],[-0.269848  0.514108 -0.498347  0.501653 -0.503003  0.484823]
m394,BuildingNonResidential,14114,7274,[3],[-0.59817   0.289432 -0.494014  0.505986 -0.493426  0.505223]
m395,BuildingNonResidential,24138,12493,[3],[-0.667654  0.332346 -0.452573  0.45175  -0.463276  0.469312]
m396,BuildingNonResidential,17644,9221,[3],[-0.393544  0.597398 -0.591403  0.408597 -0.386959  0.386959]
m397,BuildingNonResidential,27992,14018,[3],[-0.51447   0.485003 -0.496935  0.503065 -0.344205  0.639029]
m398,BuildingNonResidential,24844,12452,[3],[-0.310456  0.30093  -0.431116  0.432937 -0.482876  0.517124]
m400,BuildingNonResidential,26484,13392,[3],[-0.36597   0.42236  -0.403574  0.488622 -0.50836   0.49164 ]
m404,BuildingNonResidential,23563,13182,[3],[-0.2233    0.204714 -0.341389  0.379843 -0.397955  0.602045]
m407,BuildingNonResidential,11326,5865,[3],[-0.347039  0.346337 -0.370492  0.371401 -0.485807  0.514193]
m408,BuildingNonResidential,29525,15004,[3],[-0.258533  0.319555 -0.327621  0.330173 -0.553294  0.446706]
m409,BuildingNonResidential,15029,8597,[3],[-0.106096  0.100394 -0.200034  0.387792 -0.785438  0.214562]
m410,BuildingNonResidential,20320,10363,[3],[-0.140113  0.257993 -0.39714   0.556778 -0.524529  0.475471]
m412,BuildingNonResidential,13332,7260,[3],[-0.0635841  0.0500029 -0.21633    0.288257  -0.522763   0.477237 ]
m413,BuildingNonResidential,20076,10270,[3],[-0.514172  0.485828 -0.480316  0.421113 -0.408549  0.455647]
m414,BuildingNonResidential,24704,12436,[3],[-0.310109  0.287422 -0.499991  0.499992 -0.499993  0.500007]
m415,BuildingNonResidential,11192,5646,[3],[-0.244392  0.241645 -0.323221  0.322598 -0.663168  0.336832]
m418,BuildingNonResidential,18480,9398,[3],[-0.309514  0.412323 -0.403297  0.40331  -0.502541  0.497459]
m471,BuildingNonResidential,9927,5000,[3],[-0.0982283  0.0976778 -0.142366   0.0965928 -0.672016   0.327984 ]
m472,BuildingNonResidential,10266,5139,[3],[-0.224583  0.234215 -0.23036   0.230149 -0.449624  0.550376]
m474,BuildingNonResidential,15336,7694,[3],[-0.515243  0.210821 -0.498022  0.496192 -0.498435  0.501565]
m475,BuildingNonResidential,10738,5576,[3],[-0.400513  0.304174 -0.432578  0.453762 -0.500133  0.499867]
m477,BuildingNonResidential,10663,5776,[3],[-0.161436  0.140978 -0.202999  0.198196 -0.36616   0.63384 ]
m478,BuildingNonResidential,9044,4960,[3],[-0.11014    0.0281684 -0.412749   0.421106  -0.503399   0.496601 ]
m479,BuildingNonResidential,12180,6386,[3],[-0.116475  0.137631 -0.256186  0.255522 -0.500588  0.499412]
m481,BuildingNonResidential,9836,5221,[3],[-0.0542372  0.149911  -0.499991   0.500009  -0.499988   0.500012 ]
D00411,Bus,9773,4999,[3],[-0.131978  0.139219 -0.168804  0.170806 -0.518093  0.481907]
D00436,Bus,25323,12728,[3],[-0.120957  0.188402 -0.168612  0.158482 -0.44781   0.55219 ]
D00446,Bus,9347,4920,[3],[-0.108769   0.0973304 -0.1513     0.174205  -0.53076    0.46924  ]
D00516,Bus,15599,8048,[3],[-0.133172  0.179558 -0.137937  0.172129 -0.581215  0.418785]
D00832,Bus,17250,8776,[3],[-0.241162  0.217071 -0.163806  0.181827 -0.557407  0.442593]
D00168,Car,20560,10827,[3],[-0.189017  0.142625 -0.185226  0.185548 -0.578596  0.421404]
D00265,Car,9157,5039,[3],[-0.173907  0.130564 -0.200405  0.200237 -0.521108  0.478892]
D00504,Car,8561,5158,[3],[-0.177287  0.132226 -0.275694  0.26219  -0.485915  0.514085]
D00541,Car,15517,8850,[3],[-0.211575  0.221849 -0.238126  0.233207 -0.488015  0.511985]
D00618,Car,15674,8611,[3],[-0.158042  0.104445 -0.196196  0.201341 -0.506278  0.493722]
D00670,Car,18145,10202,[3],[-0.141748  0.14013  -0.188218  0.186486 -0.531161  0.468839]
m1488,Car,9103,4962,[3],[-0.283404  0.253532 -0.292377  0.281091 -0.52652   0.47348 ]
m1489,Car,12246,6131,[3],[-0.303551  0.19031  -0.247789  0.245268 -0.526743  0.473257]
m1490,Car,15532,8161,[3],[-0.173008  0.256897 -0.260589  0.260331 -0.4894    0.5106  ]
m1497,Car,17018,8552,[3],[-0.110155  0.220507 -0.167458  0.166889 -0.625627  0.374373]
m1500,Car,11276,5652,[3],[-0.130647  0.247892 -0.211082  0.211359 -0.574755  0.425245]
m1502,Car,6972,5046,[3],[-0.125827   0.0991931 -0.24522    0.257285  -0.517049   0.482951 ]
m1504,Car,23798,12310,[3],[-0.0874841  0.12148   -0.223887   0.225809  -0.503831   0.496169 ]
m1506,Car,20351,10642,[3],[-0.15785   0.109891 -0.282801  0.282279 -0.486893  0.513107]
m1508,Car,11255,7522,[3],[-0.127307   0.0744158 -0.206525   0.208757  -0.532377   0.467623 ]
m1515,Car,18968,9704,[3],[-0.103687  0.117049 -0.24814   0.251202 -0.41745   0.58255 ]
m1517,Car,16750,8612,[3],[-0.19332   0.122224 -0.217751  0.21794  -0.550806  0.449194]
m1519,Car,21424,10871,[3],[-0.146856  0.117296 -0.18634   0.184887 -0.518997  0.481003]
m1521,Car,20482,10440,[3],[-0.151823  0.119617 -0.205637  0.207588 -0.468598  0.531402]
m1522,Car,13042,7088,[3],[-0.117949  0.158603 -0.198026  0.198614 -0.443506  0.556494]
m1523,Car,10846,5433,[3],[-0.107616  0.162477 -0.204131  0.204066 -0.498884  0.501116]
m1524,Car,22248,11134,[3],[-0.190008  0.146184 -0.208413  0.2081   -0.488902  0.511098]
m1526,Car,21370,10765,[3],[-0.156747  0.117094 -0.213891  0.213699 -0.490374  0.509626]
m1529,Car,20170,10952,[3],[-0.119408  0.207088 -0.20945   0.214499 -0.531189  0.468811]
m1530,Car,25106,12878,[3],[-0.141068  0.150484 -0.195802  0.195731 -0.497997  0.502003]
m1531,Car,12894,6708,[3],[-0.126618  0.193304 -0.184767  0.184756 -0.51384   0.48616 ]
m1532,Car,22642,11938,[3],[-0.247462  0.145435 -0.227907  0.226107 -0.541529  0.458471]
m1536,Car,10626,5323,[3],[-0.108201  0.170517 -0.214839  0.230982 -0.536089  0.463911]
m1538,Car,10850,5435,[3],[-0.107593  0.162449 -0.20412   0.20406  -0.501028  0.498972]
m1542,Car,22048,12001,[3],[-0.196253  0.146068 -0.23223   0.240533 -0.518148  0.481852]
m1543,Car,26672,14129,[3],[-0.143668  0.133044 -0.227989  0.228    -0.564625  0.435375]
m1547,Car,24010,12165,[3],[-0.109325  0.126741 -0.286661  0.289653 -0.479389  0.520611]
